x,y,z,df
51616.2265625,-9516.31591796875,-179.72142028808594,0.0
51616.2265625,-9413.607421875,-179.72142028808594,0.0
51616.2265625,-9310.89892578125,-179.72142028808594,0.0
51616.2265625,-9208.1904296875,-179.72142028808594,0.0
51616.2265625,-9105.48193359375,-179.72142028808594,0.0
51616.2265625,-9002.7734375,-179.72142028808594,0.0
51616.2265625,-8900.06494140625,-179.72142028808594,0.0
51616.2265625,-8797.3564453125,-179.72142028808594,0.0
51616.2265625,-8694.64794921875,-179.72142028808594,0.0
51729.0859375,-10029.8583984375,-179.72142028808594,0.0
51729.0859375,-9927.14990234375,-179.72142028808594,0.0
51729.0859375,-9824.44140625,-179.72142028808594,0.0
51729.0859375,-9721.73291015625,-179.72142028808594,0.0
51729.0859375,-9619.0244140625,-179.72142028808594,0.0
51729.0859375,-9516.31591796875,-179.72142028808594,0.0
51729.0859375,-9413.607421875,-179.72142028808594,0.0
51729.0859375,-9310.89892578125,-179.72142028808594,0.0
51729.0859375,-9208.1904296875,-179.72142028808594,0.0
51729.0859375,-9105.48193359375,-179.72142028808594,0.0
51729.0859375,-9002.7734375,-179.72142028808594,0.0
51729.0859375,-8900.06494140625,-179.72142028808594,0.0
51729.0859375,-8797.3564453125,-179.72142028808594,0.0
51729.0859375,-8694.64794921875,-179.72142028808594,0.0
51841.943359375,-10029.8583984375,-179.72142028808594,0.0
51841.943359375,-9927.14990234375,-179.72142028808594,0.0
51841.943359375,-9824.44140625,-179.72142028808594,0.0
51841.943359375,-9721.73291015625,-179.72142028808594,0.0
51841.943359375,-9619.0244140625,-179.72142028808594,0.0
51841.943359375,-9516.31591796875,-179.72142028808594,0.0
51841.943359375,-9413.607421875,-179.72142028808594,0.0
51841.943359375,-9310.89892578125,-179.72142028808594,0.0
51841.943359375,-9208.1904296875,-179.72142028808594,0.0
51841.943359375,-9105.48193359375,-179.72142028808594,0.0
51841.943359375,-9002.7734375,-179.72142028808594,0.0
51841.943359375,-8900.06494140625,-179.72142028808594,0.0
51841.943359375,-8797.3564453125,-179.72142028808594,0.0
51841.943359375,-8694.64794921875,-179.72142028808594,0.0
51954.80078125,-10029.8583984375,-179.72142028808594,0.0
51954.80078125,-9927.14990234375,-179.72142028808594,0.0
51954.80078125,-9824.44140625,-179.72142028808594,0.0
51954.80078125,-9721.73291015625,-179.72142028808594,0.0
51954.80078125,-9619.0244140625,-179.72142028808594,0.0
51954.80078125,-9516.31591796875,-179.72142028808594,0.0
51954.80078125,-9413.607421875,-179.72142028808594,0.0
51954.80078125,-9310.89892578125,-179.72142028808594,0.0
51954.80078125,-9208.1904296875,-179.72142028808594,0.0
51954.80078125,-9105.48193359375,-179.72142028808594,0.0
51954.80078125,-9002.7734375,-179.72142028808594,0.0
51954.80078125,-8900.06494140625,-179.72142028808594,0.0
51954.80078125,-8797.3564453125,-179.72142028808594,0.0
51954.80078125,-8694.64794921875,-179.72142028808594,0.0
51506.6875,-10050.747314453125,-179.72142028808594,0.0
51520.59765625,-10138.944010416666,-179.72142028808594,0.0
51606.0322265625,-10124.51123046875,-179.72142028808594,0.0
51506.6875,-9927.26318359375,-179.72142028808594,0.0
51488.984375,-9586.450846354166,-179.72142028808594,0.0
51506.6875,-9827.822265625,-179.72142028808594,0.0
51506.6875,-9728.38134765625,-179.72142028808594,0.0
51488.984375,-9461.112630208334,-179.72142028808594,0.0
51709.880859375,-10124.51123046875,-179.72142028808594,0.0
51785.514322916664,-10138.944010416666,-179.72142028808594,0.0
51524.390625,-9641.6640625,-179.72142028808594,0.0
51524.390625,-9512.45703125,-179.72142028808594,0.0
51524.390625,-9413.6171875,-179.72142028808594,0.0
51488.984375,-9071.630859375,-179.72142028808594,0.0
51524.390625,-9281.66796875,-179.72142028808594,0.0
51488.984375,-9333.031901041666,-179.72142028808594,0.0
51488.984375,-9169.344075520834,-179.72142028808594,0.0
51488.984375,-8973.917317708334,-179.72142028808594,0.0
51488.984375,-8617.30078125,-179.72142028808594,0.0
51488.984375,-8876.2041015625,-179.72142028808594,0.0
51488.984375,-8778.490559895834,-179.72142028808594,0.0
51488.984375,-8715.013671875,-179.72142028808594,0.0
51524.390625,-9213.195638020834,-179.72142028808594,0.0
51524.390625,-9112.984700520834,-179.72142028808594,0.0
51524.390625,-8912.562825520834,-179.72142028808594,0.0
51524.390625,-8812.351888020834,-179.72142028808594,0.0
51524.390625,-9012.773763020834,-179.72142028808594,0.0
51552.2109375,-8585.562174479166,-179.72142028808594,0.0
51625.236979166664,-8614.428059895834,-179.72142028808594,0.0
51732.088541666664,-8614.428059895834,-179.72142028808594,0.0
51785.514322916664,-8585.562174479166,-179.72142028808594,0.0
51684.669270833336,-8585.562174479166,-179.72142028808594,0.0
51524.390625,-8680.402669270834,-179.72142028808594,0.0
51886.359375,-10138.944010416666,-179.72142028808594,0.0
51945.791666666664,-10110.078450520834,-179.72142028808594,0.0
52018.817708333336,-10138.944010416666,-179.72142028808594,0.0
52046.63671875,-9912.994140625,-179.72142028808594,0.0
52046.63671875,-9713.132161458334,-179.72142028808594,0.0
52046.63671875,-9613.201497395834,-179.72142028808594,0.0
52046.63671875,-9813.063151041666,-179.72142028808594,0.0
52046.63671875,-10044.383463541666,-179.72142028808594,0.0
52082.04296875,-9753.108072916666,-179.72142028808594,0.0
52082.04296875,-10010.33203125,-179.72142028808594,0.0
52082.04296875,-9947.4150390625,-179.72142028808594,0.0
52082.04296875,-9850.26171875,-179.72142028808594,0.0
52046.63671875,-9413.339518229166,-179.72142028808594,0.0
52082.04296875,-9461.6484375,-179.72142028808594,0.0
52046.63671875,-9513.2705078125,-179.72142028808594,0.0
52082.04296875,-9558.8017578125,-179.72142028808594,0.0
52082.04296875,-9655.955078125,-179.72142028808594,0.0
52082.04296875,-10107.4853515625,-179.72142028808594,0.0
52046.63671875,-9313.408528645834,-179.72142028808594,0.0
52046.63671875,-9113.546875,-179.72142028808594,0.0
52046.63671875,-9013.615885416666,-179.72142028808594,0.0
52046.63671875,-9213.4775390625,-179.72142028808594,0.0
51886.359375,-8585.562174479166,-179.72142028808594,0.0
51838.940104166664,-8614.428059895834,-179.72142028808594,0.0
51945.791666666664,-8614.428059895834,-179.72142028808594,0.0
52046.63671875,-8813.75390625,-179.72142028808594,0.0
52046.63671875,-8913.684895833334,-179.72142028808594,0.0
52082.04296875,-8975.881510416666,-179.72142028808594,0.0
52082.04296875,-9170.188151041666,-179.72142028808594,0.0
52082.04296875,-9073.03515625,-179.72142028808594,0.0
52082.04296875,-8878.728190104166,-179.72142028808594,0.0
51987.204427083336,-8585.562174479166,-179.72142028808594,0.0
52050.4296875,-8585.562174479166,-179.72142028808594,0.0
52082.04296875,-8619.2626953125,-179.72142028808594,0.0
52046.63671875,-8682.364583333334,-179.72142028808594,0.0
52082.04296875,-8750.1162109375,-179.72142028808594,0.0
52082.04296875,-9267.341471354166,-179.72142028808594,0.0
52082.04296875,-9364.494791666666,-179.72142028808594,0.0
51838.940104166664,-10110.078450520834,-179.72142028808594,0.0
48369.373046875,-9843.71826171875,-179.72142028808594,0.0
48369.373046875,-9739.94775390625,-179.72142028808594,0.0
48369.373046875,-9636.17724609375,-179.72142028808594,0.0
48369.373046875,-9532.40673828125,-179.72142028808594,0.0
48369.373046875,-9428.63623046875,-179.72142028808594,0.0
48369.373046875,-9324.86572265625,-179.72142028808594,0.0
48369.373046875,-9221.0947265625,-179.72142028808594,0.0
48474.447265625,-9843.71826171875,-179.72142028808594,0.0
48474.447265625,-9739.94775390625,-179.72142028808594,0.0
48474.447265625,-9636.17724609375,-179.72142028808594,0.0
48474.447265625,-9532.40673828125,-179.72142028808594,0.0
48474.447265625,-9428.63623046875,-179.72142028808594,0.0
48474.447265625,-9324.86572265625,-179.72142028808594,0.0
48474.447265625,-9221.0947265625,-179.72142028808594,0.0
48579.5234375,-9843.71826171875,-179.72142028808594,0.0
48579.5234375,-9739.94775390625,-179.72142028808594,0.0
48579.5234375,-9636.17724609375,-179.72142028808594,0.0
48579.5234375,-9532.40673828125,-179.72142028808594,0.0
48579.5234375,-9428.63623046875,-179.72142028808594,0.0
48579.5234375,-9324.86572265625,-179.72142028808594,0.0
48579.5234375,-9221.0947265625,-179.72142028808594,0.0
48684.599609375,-9843.71826171875,-179.72142028808594,0.0
48684.599609375,-9739.94775390625,-179.72142028808594,0.0
48684.599609375,-9636.17724609375,-179.72142028808594,0.0
48684.599609375,-9532.40673828125,-179.72142028808594,0.0
48684.599609375,-9428.63623046875,-179.72142028808594,0.0
48684.599609375,-9324.86572265625,-179.72142028808594,0.0
48684.599609375,-9221.0947265625,-179.72142028808594,0.0
51246.91796875,-9618.61669921875,-179.72142028808594,88.74
51246.91796875,-9481.96337890625,-179.72142028808594,84.03
51384.69140625,-9618.61669921875,-179.72142028808594,88.9
51384.69140625,-9481.96337890625,-179.72142028808594,84.38
49317.810546875,-9447.20458984375,-179.72142028808594,4.88
49317.810546875,-9336.00634765625,-179.72142028808594,35.7
49317.810546875,-9224.80810546875,-179.72142028808594,41.67
49429.984375,-9447.20458984375,-179.72142028808594,59.86
49429.984375,-9336.00634765625,-179.72142028808594,71.59
49429.984375,-9224.80810546875,-179.72142028808594,65.45
49542.158203125,-9447.20458984375,-179.72142028808594,90.0
49542.158203125,-9336.00634765625,-179.72142028808594,84.58
49542.158203125,-9224.80810546875,-179.72142028808594,78.08
49654.33203125,-9447.20458984375,-179.72142028808594,90.58
49654.33203125,-9336.00634765625,-179.72142028808594,87.21
49654.33203125,-9224.80810546875,-179.72142028808594,81.51
49766.505859375,-9447.20458984375,-179.72142028808594,90.58
49766.505859375,-9336.00634765625,-179.72142028808594,87.26
49766.505859375,-9224.80810546875,-179.72142028808594,81.84
49878.681640625,-9447.20458984375,-179.72142028808594,90.05
49878.681640625,-9336.00634765625,-179.72142028808594,84.88
49878.681640625,-9224.80810546875,-179.72142028808594,78.0
49990.85546875,-9447.20458984375,-179.72142028808594,63.95
49990.85546875,-9336.00634765625,-179.72142028808594,73.51
49990.85546875,-9224.80810546875,-179.72142028808594,67.73
50103.029296875,-9447.20458984375,-179.72142028808594,6.05
50103.029296875,-9336.00634765625,-179.72142028808594,41.7
50103.029296875,-9224.80810546875,-179.72142028808594,47.04
48892.4140625,-9744.0986328125,-179.72142028808594,0.0
48892.4140625,-9638.2529296875,-179.72142028808594,0.0
48892.4140625,-9532.40673828125,-179.72142028808594,0.0
48892.4140625,-9426.560546875,-179.72142028808594,0.0
48892.4140625,-9320.71484375,-179.72142028808594,0.0
48999.4296875,-9744.0986328125,-179.72142028808594,0.0
48999.4296875,-9638.2529296875,-179.72142028808594,0.0
48999.4296875,-9532.40673828125,-179.72142028808594,0.0
48999.4296875,-9426.560546875,-179.72142028808594,0.0
48999.4296875,-9320.71484375,-179.72142028808594,0.0
49106.4453125,-9744.0986328125,-179.72142028808594,0.0
49106.4453125,-9638.2529296875,-179.72142028808594,0.0
49106.4453125,-9532.40673828125,-179.72142028808594,0.0
49106.4453125,-9426.560546875,-179.72142028808594,0.0
49106.4453125,-9320.71484375,-179.72142028808594,0.0
48771.059895833336,-9802.2099609375,-179.72142028808594,0.0
48771.059895833336,-9676.12890625,-179.72142028808594,0.0
48800.203125,-9862.742838541666,-179.72142028808594,0.0
48880.34765625,-9846.3125,-179.72142028808594,0.0
48804.983072916664,-9633.2373046875,-179.72142028808594,0.0
48952.44921875,-9862.742838541666,-179.72142028808594,0.0
48804.983072916664,-9734.0673828125,-179.72142028808594,0.0
48771.059895833336,-9580.314127604166,-179.72142028808594,0.0
48771.059895833336,-9484.4990234375,-179.72142028808594,0.0
48771.059895833336,-9232.336588541666,-179.72142028808594,0.0
48771.059895833336,-9292.869466145834,-179.72142028808594,0.0
48771.059895833336,-9388.684244791666,-179.72142028808594,0.0
48804.983072916664,-9431.576171875,-179.72142028808594,0.0
48898.94140625,-9234.930989583334,-179.72142028808594,0.0
48952.44921875,-9202.069986979166,-179.72142028808594,0.0
48829.346354166664,-9202.069986979166,-179.72142028808594,0.0
48804.983072916664,-9330.745768229166,-179.72142028808594,0.0
48804.983072916664,-9532.406575520834,-179.72142028808594,0.0
49046.408854166664,-9862.742838541666,-179.72142028808594,0.0
49099.916666666664,-9829.882161458334,-179.72142028808594,0.0
49210.837890625,-9746.201171875,-179.72142028808594,0.0
49169.51171875,-9862.742838541666,-179.72142028808594,0.0
49210.837890625,-9619.62841796875,-179.72142028808594,0.0
49193.876302083336,-9522.5390625,-179.72142028808594,0.0
49227.799479166664,-9830.009440104166,-179.72142028808594,0.0
49193.876302083336,-9424.175455729166,-179.72142028808594,0.0
49046.408854166664,-9202.069986979166,-179.72142028808594,0.0
48999.4296875,-9234.930989583334,-179.72142028808594,0.0
49118.5107421875,-9218.50048828125,-179.72142028808594,0.0
49193.876302083336,-9325.812174479166,-179.72142028808594,0.0
49198.65625,-9202.069986979166,-179.72142028808594,0.0
49227.799479166664,-9257.669270833334,-179.72142028808594,0.0
49227.799479166664,-9376.349934895834,-179.72142028808594,0.0
49227.799479166664,-9467.230794270834,-179.72142028808594,0.0
48999.4296875,-9829.882161458334,-179.72142028808594,0.0
54169.173828125,-8178.1044921875,-179.72142028808594,0.0
54169.173828125,-8074.1728515625,-179.72142028808594,0.0
54169.173828125,-7970.2412109375,-179.72142028808594,27.59
54169.173828125,-7866.309326171875,-179.72142028808594,63.84
54169.173828125,-7762.37744140625,-179.72142028808594,81.29
54169.173828125,-7658.44580078125,-179.72142028808594,87.78
54169.173828125,-7554.51416015625,-179.72142028808594,88.85
54169.173828125,-7450.58251953125,-179.72142028808594,89.59
54169.173828125,-7346.650634765625,-179.72142028808594,89.59
54169.173828125,-7242.71875,-179.72142028808594,88.79
54169.173828125,-7138.787109375,-179.72142028808594,88.41
54169.173828125,-7034.85546875,-179.72142028808594,90.0
54276.427734375,-8178.1044921875,-179.72142028808594,0.0
54276.427734375,-7658.44580078125,-179.72142028808594,84.14
54276.427734375,-7554.51416015625,-179.72142028808594,85.45
54276.427734375,-7450.58251953125,-179.72142028808594,86.27
54276.427734375,-7346.650634765625,-179.72142028808594,86.71
54276.427734375,-7242.71875,-179.72142028808594,87.21
54276.427734375,-7138.787109375,-179.72142028808594,88.66
54276.427734375,-7034.85546875,-179.72142028808594,90.27
54383.681640625,-8178.1044921875,-179.72142028808594,0.0
54383.681640625,-7658.44580078125,-179.72142028808594,79.29
54383.681640625,-7554.51416015625,-179.72142028808594,81.81
54383.681640625,-7450.58251953125,-179.72142028808594,83.1
54383.681640625,-7346.650634765625,-179.72142028808594,84.33
54383.681640625,-7242.71875,-179.72142028808594,86.11
54383.681640625,-7138.787109375,-179.72142028808594,88.49
54383.681640625,-7034.85546875,-179.72142028808594,90.3
54490.935546875,-8178.1044921875,-179.72142028808594,0.0
54490.935546875,-7658.44580078125,-179.72142028808594,73.73
54490.935546875,-7554.51416015625,-179.72142028808594,76.68
54490.935546875,-7450.58251953125,-179.72142028808594,79.37
54490.935546875,-7346.650634765625,-179.72142028808594,82.47
54490.935546875,-7242.71875,-179.72142028808594,85.12
54490.935546875,-7138.787109375,-179.72142028808594,88.25
